nct_id,brief_title,overall_status,completion_date,study_first_post_date,phase,has_results,enrollment_count,enrollment_type,lead_sponsor_name,lead_sponsor_class,pmid_count_any,pmids_any,pmid_count_results,pmids_results,publication_linkage_rule,has_any_pmid,has_pmid,is_unlinked_any_pmid,is_unpublished_with_results,is_ghost_protocol,weight_n,weight_n_imputation
NCT00974155,The Early Medication Change (EMC) Trial,COMPLETED,2014-05,2009-09-10,PHASE4,False,889,ACTUAL,K. Lieb,OTHER,11,34985381;33208708;31280076;30929060;30642308;30459647;29668746;29334322;28421334;21269443;20187947,0,,results_pmid_strict,True,False,True,False,False,889,none
NCT07077291,MBCT and Escitalopram for Treatment-Resistant Depression in Older Adults,COMPLETED,2022-05-30,2025-07-22,NA,False,230,ACTUAL,Yun Zhang,OTHER,0,,0,,results_pmid_strict,False,False,False,False,True,230,none
NCT00866593,A Clinical Trial to Evaluate the Efficacy and Safety of Generic Escitalopram in Depression,COMPLETED,2010-03,2009-03-20,PHASE2|PHASE3,False,260,ACTUAL,Shanghai Mental Health Center,OTHER,1,24991142,0,,results_pmid_strict,True,False,True,False,False,260,none
NCT00810069,Early Versus Delayed Switch in Medication in Patients With Major Depressive Disorder,COMPLETED,2010-03,2008-12-17,PHASE4,True,840,ACTUAL,Eli Lilly and Company,INDUSTRY,1,22722513,0,,results_pmid_strict,True,False,True,True,False,840,none
NCT04977232,Adjunctive Game Intervention for Anhedonia in MDD Patients,COMPLETED,2022-12-31,2021-07-26,NA,False,50,ACTUAL,Central South University,OTHER,0,,0,,results_pmid_strict,False,False,False,False,True,50,none
NCT01309776,Comparison of Tianeptine Versus Escitalopram Patients Major Depressive Disorder,COMPLETED,2012-09,2011-03-07,PHASE4,False,164,ACTUAL,Samsung Medical Center,OTHER,1,26142691,0,,results_pmid_strict,True,False,True,False,False,164,none
NCT00177294,Augmenting Antidepressant Treatment With Interpersonal Psychotherapy for Treating Late-life Depression,COMPLETED,2009-08,2005-09-15,PHASE4,True,319,ACTUAL,University of Pittsburgh,OTHER,2,20957693;24144505,1,20957693,results_pmid_strict,True,True,False,False,False,319,none
NCT00149825,Combining Antidepressant Medication and Psychotherapy for Insomnia to Improve Depression Outcome,COMPLETED,2007-08,2005-09-08,PHASE2,True,30,ACTUAL,Stanford University,OTHER,2,19616140;18457236,1,18457236,results_pmid_strict,True,True,False,False,False,30,none
NCT00917059,Personalized Indicators for Predicting Response to SSRI Treatment in Major Depression (The PRISE-MD Study),COMPLETED,2012-05,2009-06-10,PHASE4,False,172,ACTUAL,"University of California, Los Angeles",OTHER,0,,0,,results_pmid_strict,False,False,False,False,True,172,none
NCT04543123,Effect of Self-administered tDCS in Patients With MDD,COMPLETED,2019-05-02,2020-09-09,PHASE4,False,58,ACTUAL,Jeong-Ho Chae,OTHER,0,,0,,results_pmid_strict,False,False,False,False,True,58,none
NCT00367341,Imaging Predictors of Treatment Response in Depression,COMPLETED,2013-07,2006-08-22,NA,True,82,ACTUAL,Emory University,OTHER,2,23760393;24462230,1,23760393,results_pmid_strict,True,True,False,False,False,82,none
NCT00519428,Does Dual Therapy Hasten Antidepressant Response?,COMPLETED,2012-03,2007-08-22,PHASE4,True,245,ACTUAL,New York State Psychiatric Institute,OTHER,4,38628260;25615566;25295437;24485847,0,,results_pmid_strict,True,False,True,True,False,245,none
NCT00360399,Identifying Factors That Predict Antidepressant Treatment Response,COMPLETED,2015-04,2006-08-04,NA,True,344,ACTUAL,Emory University,OTHER,6,22776534;36651624;34697401;32368793;29369664;28335622,0,,results_pmid_strict,True,False,True,True,False,344,none
NCT03909217,Treating Depression With Transcutaneous Electrical Cranial-auricular Acupoint Stimulation (TECAS).,COMPLETED,2021-12-02,2019-04-09,PHASE2|PHASE3,False,470,ACTUAL,The University of Hong Kong,OTHER,6,34431029;32305573;31747095;25963932;29398576;35619617,0,,results_pmid_strict,True,False,True,False,False,470,none
NCT06325605,Efficacy and Safety of Bifidobacterium Combined With High-frequency Transcranial Magnetic Stimulation in the Treatment of Adolescent Depression,COMPLETED,2022-10-31,2024-03-22,NA,False,100,ACTUAL,Zhen-Hong Hu,OTHER,0,,0,,results_pmid_strict,False,False,False,False,True,100,none
NCT00166114,"Depression, Epinephrine, and Platelet Function",COMPLETED,2009-01,2005-09-14,PHASE4,True,40,ACTUAL,Emory University,OTHER,4,22966422;18619999;15953798;18378867,1,18378867,results_pmid_strict,True,True,False,False,False,40,none
NCT03321006,Treating Hearing Loss to Improve Mood and Cognition in Older Adults,COMPLETED,2021-06-01,2017-10-25,PHASE4,True,25,ACTUAL,New York State Psychiatric Institute,OTHER,0,,0,,results_pmid_strict,False,False,False,True,False,25,none
NCT00406640,Study Evaluating Desvenlafaxine Succinate Sustained Release (DVS SR) vs. Escitalopram in Postmenopausal Women,COMPLETED,2008-10,2006-12-04,PHASE3,True,595,ACTUAL,Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY,1,21323394,0,,results_pmid_strict,True,False,True,True,False,595,none
