application,ghost_sigma,results_only_sigma,posterior_mean,posterior_sd,cri_lo,cri_hi,cri_width,pr_positive
Escitalopram/Depression,0.05,0.05,-0.097766,0.116834,-0.326806,0.131274,0.458081,0.201353
Escitalopram/Depression,0.05,0.1,-0.097766,0.118295,-0.329671,0.134139,0.46381,0.204271
Escitalopram/Depression,0.05,0.2,-0.097766,0.123968,-0.340792,0.145259,0.486051,0.21516
Escitalopram/Depression,0.05,0.3,-0.097766,0.132885,-0.358273,0.162741,0.521014,0.230951
Escitalopram/Depression,0.1,0.05,-0.097766,0.116964,-0.327063,0.13153,0.458593,0.201616
Escitalopram/Depression,0.1,0.1,-0.097766,0.118424,-0.329924,0.134392,0.464316,0.204527
Escitalopram/Depression,0.1,0.2,-0.097766,0.124091,-0.341033,0.145501,0.486534,0.215389
Escitalopram/Depression,0.1,0.3,-0.097766,0.133,-0.358498,0.162966,0.521465,0.231144
Escitalopram/Depression,0.2,0.05,-0.097766,0.117486,-0.328085,0.132553,0.460637,0.202661
Escitalopram/Depression,0.2,0.1,-0.097766,0.118939,-0.330934,0.135401,0.466335,0.205543
Escitalopram/Depression,0.2,0.2,-0.097766,0.124582,-0.341997,0.146464,0.488461,0.2163
Escitalopram/Depression,0.2,0.3,-0.097766,0.133459,-0.359398,0.163866,0.523263,0.231914
Escitalopram/Depression,0.3,0.05,-0.097766,0.11835,-0.329778,0.134246,0.464024,0.20438
Escitalopram/Depression,0.3,0.1,-0.097766,0.119792,-0.332607,0.137074,0.469681,0.207213
Escitalopram/Depression,0.3,0.2,-0.097766,0.125397,-0.343594,0.148062,0.491657,0.217798
Escitalopram/Depression,0.3,0.3,-0.097766,0.13422,-0.36089,0.165358,0.526247,0.233183
Pregabalin/Neuropathic Pain,0.05,0.05,-0.234321,0.073703,-0.378808,-0.089833,0.288975,0.000738
Pregabalin/Neuropathic Pain,0.05,0.1,-0.234321,0.073919,-0.379231,-0.08941,0.289822,0.000762
Pregabalin/Neuropathic Pain,0.05,0.2,-0.234321,0.074777,-0.380912,-0.087729,0.293183,0.000863
Pregabalin/Neuropathic Pain,0.05,0.3,-0.234321,0.076184,-0.383671,-0.08497,0.298701,0.00105
Pregabalin/Neuropathic Pain,0.1,0.05,-0.234321,0.07412,-0.379624,-0.089017,0.290607,0.000785
Pregabalin/Neuropathic Pain,0.1,0.1,-0.234321,0.074334,-0.380045,-0.088596,0.291449,0.00081
Pregabalin/Neuropathic Pain,0.1,0.2,-0.234321,0.075187,-0.381716,-0.086925,0.294792,0.000915
Pregabalin/Neuropathic Pain,0.1,0.3,-0.234321,0.076587,-0.384461,-0.08418,0.30028,0.001108
Pregabalin/Neuropathic Pain,0.2,0.05,-0.234321,0.075762,-0.382843,-0.085798,0.297045,0.000991
Pregabalin/Neuropathic Pain,0.2,0.1,-0.234321,0.075972,-0.383255,-0.085386,0.297869,0.00102
Pregabalin/Neuropathic Pain,0.2,0.2,-0.234321,0.076806,-0.384891,-0.08375,0.30114,0.001141
Pregabalin/Neuropathic Pain,0.2,0.3,-0.234321,0.078177,-0.387578,-0.081063,0.306515,0.001362
Pregabalin/Neuropathic Pain,0.3,0.05,-0.234321,0.078422,-0.388059,-0.080583,0.307476,0.001404
Pregabalin/Neuropathic Pain,0.3,0.1,-0.234321,0.078625,-0.388456,-0.080185,0.308272,0.00144
Pregabalin/Neuropathic Pain,0.3,0.2,-0.234321,0.079431,-0.390038,-0.078604,0.311434,0.001589
Pregabalin/Neuropathic Pain,0.3,0.3,-0.234321,0.080758,-0.392638,-0.076003,0.316634,0.001857
